Name,Category,Primary Color,Material,Description
Blazer,Upperwear,Light Green,Satin,Light cool blazer
Sweater,Upperwear,Light Yellow,Wool,Warm knitted sweater with buttons
Jacket,Upperwear,Gray,Polyester,Light windbreaker with a black emblem on the chest
Jacket,Upperwear,Black,Polyester,Light windbreaker with thin red stripes
Skirt,Legs,Beige,Satin,Light pencil skirt
Skirt,Legs,Black,Cotton,Thick dark skirt
Tank Top,Body,Light Beige,Cotton,Sleeveless tank top with floral patterns in dull blue and green tones
Jeans,Legs,Light Blue,Denim,Medium thickness flared jeans
Jeans,Legs,Light Blue,Denim,Thick jeans
Tank Top,Body,White,Polyester,Thick tank top with brown and black print
Tank Top,Body,Burgundy,Cotton,Sleeveless tank top
Tank Top,Body,Black,Cotton,Light tank top
Tank Top,Body,Dark Beige,Cotton,Sleeveless tank top
